timestamp,batch_start,batch_end,n_done,n_total,percent_done,elapsed_seconds
2026-05-17 20:10:49,0,32,32,1000,3.2,13.393481969833374
2026-05-17 20:11:02,32,64,64,1000,6.4,26.31908369064331
2026-05-17 20:11:18,64,96,96,1000,9.6,41.89756679534912
2026-05-17 20:11:35,96,128,128,1000,12.8,59.264995098114014
2026-05-17 20:11:54,128,160,160,1000,16.0,77.49409556388855
2026-05-17 20:12:13,160,192,192,1000,19.2,97.34352898597717
2026-05-17 20:12:29,192,224,224,1000,22.4,112.94166421890259
2026-05-17 20:12:44,224,256,256,1000,25.6,127.84609484672546
2026-05-17 20:13:00,256,288,288,1000,28.8,143.51822566986084
2026-05-17 20:13:16,288,320,320,1000,32.0,159.67688632011414
2026-05-17 20:13:34,320,352,352,1000,35.2,177.95973229408264
2026-05-17 20:13:49,352,384,384,1000,38.4,192.5905466079712
2026-05-17 20:14:03,384,416,416,1000,41.6,207.44625329971313
2026-05-17 20:14:18,416,448,448,1000,44.8,222.27449917793274
2026-05-17 20:14:33,448,480,480,1000,48.0,236.5906846523285
2026-05-17 20:14:49,480,512,512,1000,51.2,252.5745666027069
2026-05-17 20:15:05,512,544,544,1000,54.4,269.35744619369507
2026-05-17 20:15:21,544,576,576,1000,57.6,285.4764709472656
2026-05-17 20:15:37,576,608,608,1000,60.8,301.12166929244995
2026-05-17 20:15:52,608,640,640,1000,64.0,316.3774883747101
2026-05-17 20:16:09,640,672,672,1000,67.2,333.42847990989685
2026-05-17 20:16:27,672,704,704,1000,70.4,350.78990840911865
2026-05-17 20:16:41,704,736,736,1000,73.6,365.26038885116577
2026-05-17 20:16:57,736,768,768,1000,76.8,380.90313267707825
2026-05-17 20:17:12,768,800,800,1000,80.0,395.8316640853882
2026-05-17 20:17:27,800,832,832,1000,83.2,410.7101957798004
2026-05-17 20:17:42,832,864,864,1000,86.4,425.67058801651
2026-05-17 20:17:58,864,896,896,1000,89.6,441.77337074279785
2026-05-17 20:18:18,896,928,928,1000,92.8,461.5082890987396
2026-05-17 20:18:34,928,960,960,1000,96.0,478.38994121551514
2026-05-17 20:18:49,960,992,992,1000,99.2,492.80379271507263
2026-05-17 20:19:04,992,1000,1000,1000,100.0,507.5822060108185
