quantization,time_seconds,recall_percent,precision_percent,f1_percent
Uniform,0.0035098000000002294,89.47368421052632,100.0,94.44444444444444
Non-uniform,0.018151599999999934,89.47368421052632,52.57731958762887,66.23376623376623
